ID;TYPE;LIBELLE;IMP;NB;URL
5087;BASKET_SPORTIF;Rudy Gobert;2052;13;https://www.lequipe.fr/Basket/BasketFicheJoueur5087.html
5160;BASKET_SPORTIF;Greivis Vasquez;7;2;https://www.lequipe.fr/Basket/BasketFicheJoueur5160.html
5169;BASKET_SPORTIF;DeMarcus Cousins;170;1;https://www.lequipe.fr/Basket/BasketFicheJoueur5169.html
5184;BASKET_SPORTIF;Paul George;176;1;https://www.lequipe.fr/Basket/BasketFicheJoueur5184.html
520;CYCLISME_SPORTIF;Lance Armstrong;1135;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur520.html
53623;FOOTBALL_SPORTIF;Paul Bernardoni;431;1;https://www.lequipe.fr/Football/FootballFicheJoueur53623.html
5411;TENNIS_SPORTIF;Viktorija Golubic;45;1;https://www.lequipe.fr/Tennis/TennisFicheJoueur5411.html
5559;BASKET_SPORTIF;Isaiah Thomas;59;1;https://www.lequipe.fr/Basket/BasketFicheJoueur5559.html
55869;FOOTBALL_SPORTIF;Lucas Tousart;534;3;https://www.lequipe.fr/Football/FootballFicheJoueur55869.html
5641;TENNIS_SPORTIF;Pierre-Hugues Herbert;1533;1;https://www.lequipe.fr/Tennis/TennisFicheJoueur5641.html
566;BASKET_SPORTIF;Andrei Kirilenko;44;1;https://www.lequipe.fr/Basket/BasketFicheJoueur566.html
5731;TENNIS_SPORTIF;Ashleigh Barty;957;1;https://www.lequipe.fr/Tennis/TennisFicheJoueur5731.html
5807;BASKET_SPORTIF;Miranda Ayim;3;1;https://www.lequipe.fr/Basket/BasketFicheJoueur5807.html
58221;FOOTBALL_SPORTIF;Kylian Mbappé;140527;3;https://www.lequipe.fr/Football/FootballFicheJoueur58221.html
5872;BASKET_SPORTIF;Damian Lillard;258;4;https://www.lequipe.fr/Basket/BasketFicheJoueur5872.html
5875;BASKET_SPORTIF;Bradley Beal;66;2;https://www.lequipe.fr/Basket/BasketFicheJoueur5875.html
5958;BASKET_SPORTIF;Yannis Morin;27;1;https://www.lequipe.fr/Basket/BasketFicheJoueur5958.html
5995;BASKET_SPORTIF;Khris Middleton;39;1;https://www.lequipe.fr/Basket/BasketFicheJoueur5995.html
6014;BASKET_SPORTIF;Draymond Green;153;2;https://www.lequipe.fr/Basket/BasketFicheJoueur6014.html
6064;BASKET_SPORTIF;Timothé Luwawu-Cabarrot;288;1;https://www.lequipe.fr/Basket/BasketFicheJoueur6064.html
61574;FOOTBALL_SPORTIF;Clément Michelin;67;1;https://www.lequipe.fr/Football/FootballFicheJoueur61574.html
